나에게 여행에 관한 영감을 준 책 또는 영화가 있다면 무엇인가요?,기타
오늘 입은 옷을 소개해 주세요.,여행 당일
오늘 여행 중 마주친 동물이 있다면? 사진으로 자랑해 주세요.,여행 당일
이번 여행의 스케줄을 소개해 주세요.,여행 준비
여행 계획을 짜고 출발하는 것을 선호하나요? MBTI 유형 J와 P 중 어느 쪽인지 알려주세요.,여행 준비
이번 여행의 키워드를  해시태그로 표현해 볼까요?,여행 준비
이건 꼭 사야해! 여행지에서만 살 수 있는 특산물이 있다면?,여행 준비
목적지에 도착했을 때 처음 느낀 향이 있다면?,여행 당일
여행 전 빼먹지 말고 꼭 챙겨야 할 게 있다면? 잊지 않게 적어볼까요?,여행 준비
이번 여행에서 내가 담당했던 역할은 무엇인가요?,여행 마무리
여행 자금은 얼마나 들었나요? 다음 여행을 준비할 때 참고하기 위해 기록해 볼까요?,여행 마무리
이번 여행에서 가장 강렬하게 남은 기억은 무엇인가요?,여행 마무리
오늘 간 곳의 풍경을 사진으로 보여주세요.,여행 당일
여행이 끝나서 아쉬운가요? 어떤 기분인지 알려주세요.,여행 마무리
좋아하는 여행 유튜버가 있나요?,기타
미래에 일기를 다시 꺼내볼 나에게 전하고 싶은 말이 있나요?,여행 마무리
이번 여행에서 가장 마음에 든 것을 소개해 주세요.,여행 마무리
오늘 발견한 나의 새로운 면이 있다면?,여행 당일
내가 사는 곳과 여행지는 어떤 점이 다른 가요?,여행 당일
이것' 때문에 다시 오고 싶다는 생각이 들었다면? 무엇인지 소개해 주세요.,여행 마무리
이번 여행에서 어떤 교통수단을 이용할 계획인가요?,여행 준비
이번 여행에 기념일이 포함되어 있나요? 어떤 기념일인지 소개해 주세요. ,여행 준비
오늘 깨달은 게 있다면 무엇이 있나요?,여행 당일
오늘 나에게 찾아온 행운이 있다면 무엇인가요?,여행 당일
이번 여행을 통해 나에게 선물을 하나 준다면 어떤 걸 주고 싶나요?,여행 준비
이번 여행에서 얻은 것이 있다면 무엇인지 설명해 주세요.,여행 마무리
오늘 여행 중 다른 사람에게 추천하고 싶은 것이 생겼다면 무엇인가요?,여행 당일
이번 여행에서 생각난 사람이 있나요? 다음에 그 사람과 다시 방문한다면 무얼 하고 싶나요?,여행 마무리
만족스러운 여행을 기획하는 나만의 팁이 있다면 알려주세요.,여행 준비
이번 여행을 통해 만든 추억이 있다면 무엇인가요?,여행 마무리
이번 여행에서 추구하는 게 있다면 무엇인가요?,여행 준비
지금 보고싶은 사람이 있나요? 그 사람에게 짧은 편지를 남겨보세요.,여행 당일
여행을 하며 내가 성장했다는 생각이 든 적이 있나요? 언제였나요?,여행 마무리
이번 여행지는 어떤 매력이 있나요?,여행 당일
이번 여행의 파트너로 누구를 선정했나요? ,여행 준비
여행을 준비하면서 걱정되는 일이 있진 않나요? 있다면 알려주세요.,여행 준비
이번 여행에서 가장 만족스러웠던 식사는 무엇인가요?,여행 마무리
오늘 여행하면서 인상적이었던 소리가 있었나요? ,여행 당일
꼭 방문해야만 진가를 알 수 있는 곳이 있었나요?,여행 마무리
이번 여행의 별점을 메긴다면 몇 점을 주고 싶나요?,여행 마무리
이번 여행은 어떨 것 같나요? 상상한 모습을 묘사해주세요.,여행 준비
여행이 며칠 남았나요? 여행을 기다리며 무엇을 하고 있나요?,여행 준비
이번 여행에서 예약하며 특별히 받은 할인이 있나요?,여행 준비
보통 여행에 대한 정보를 어디서 얻는 편인가요?,여행 준비
여행지의 날씨는 어떨지 미리 확인해 볼까요?,여행 준비
먼저 방문한 사람들의 후기에서는 이번 여행지를 어떻게 묘사하고 있나요?,여행 준비
"여행을 떠날 준비가 되었나요? 가족, 친구, 반려동물 등에게 짧은 작별 인사를 남겨봐요.",여행 준비
이번 여행의 별자리 지도는 어떤 모양인가요? 별자리에게 이름을 붙여볼까요?,여행 마무리
이번 여행의 bgm을 설정한다면 어떤 곡이 어울릴까요?,여행 마무리
체크 아웃하면서 빼먹은 물건은 없나요? 미리 챙겨야 할 물건을 적어봐요.,여행 당일
오늘 감동받은 일이 있었다면 소개해 주세요. ,여행 당일
오늘 나의 순발력이 빛났던 순간이 있었나요?,여행 당일
오늘 나를 즐거운 일이 있었다면 자랑해 주세요.,여행 당일
여행을 하며 집이 그리웠던 순간이 있었나요?,여행 마무리
스스로에게 이번 여행에서 잘한 점을 하나 칭찬해 주세요.,여행 마무리
미래에 이곳을 방문할 여행자들에게 한 마디를 남긴다면?,여행 마무리
집에 가서도 이번 여행을 생각나는 것이 있나요?,여행 마무리
다음 여행에서 보완하고 싶은 점이 있다면 무엇인가요?,여행 마무리
좋은 여행이란 무엇일까요? 이번 여행은 좋은 여행이었나요?,여행 마무리
이번 여행기의 제목을 짓는다면 무엇이 좋을까요?,여행 마무리
